Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS
1/6/2021,0.180002715,0.214068153,0.236863501,0.227488315
1/7/2021,0.17862449,0.215616499,0.219041192,0.234297668
1/8/2021,0.180840314,0.224617714,0.208678459,0.243509248
1/11/2021,0.188608552,0.227607515,0.206761585,0.271320014
1/12/2021,0.207184594,0.220069366,0.212826114,0.267169857
1/13/2021,0.205606924,0.219240427,0.213329798,0.255475448
1/14/2021,0.208220951,0.231365354,0.205398926,0.260964866
1/15/2021,0.210831348,0.225746846,0.193973387,0.265334885
1/18/2021,0.220471514,0.227418975,0.195430312,0.27976218
1/19/2021,0.224613908,0.228088456,0.194849217,0.27964762
1/20/2021,0.225168694,0.224831328,0.19742452,0.281783029
1/21/2021,0.228607092,0.229732321,0.192640866,0.279018732
1/22/2021,0.238009752,0.225707856,0.198043013,0.277387001
1/25/2021,0.286733049,0.226681712,0.200689498,0.280427729
1/27/2021,0.293867111,0.230752556,0.228937072,0.287955641
1/28/2021,0.294140712,0.236341818,0.239655697,0.293511521
1/29/2021,0.298034164,0.249860238,0.239628381,0.307835739
2/1/2021,0.310709641,0.249946394,0.290954888,0.310123622
2/2/2021,0.314608288,0.254356037,0.323124118,0.302715381
2/3/2021,0.305460956,0.248940286,0.309625129,0.301142758
2/4/2021,0.305572044,0.246256775,0.309416853,0.284804651
2/5/2021,0.305348393,0.247588508,0.309946757,0.275592384
2/8/2021,0.298726968,0.251122239,0.308348279,0.280641739
2/9/2021,0.298458322,0.254596713,0.307717591,0.280598087
2/10/2021,0.299302401,0.255697432,0.314417283,0.281025879
2/11/2021,0.321658229,0.254340885,0.315588811,0.281047493
2/12/2021,0.321988845,0.248866575,0.315702929,0.282687123
2/15/2021,0.322360739,0.248557508,0.318285168,0.2826343
2/16/2021,0.324355968,0.227776909,0.316737208,0.279420338
2/17/2021,0.323035484,0.224851768,0.327969665,0.279863964
2/18/2021,0.31285917,0.22181952,0.334626898,0.279763487
2/19/2021,0.312758388,0.221385948,0.336266912,0.27569011
2/22/2021,0.3303556,0.231243477,0.335535218,0.257498337
2/23/2021,0.325120724,0.225601393,0.336495975,0.211949894
2/24/2021,0.317330093,0.226962329,0.360146214,0.213549819
2/25/2021,0.333808423,0.232879525,0.359075116,0.209804099
2/26/2021,0.344721177,0.230678118,0.385871836,0.212057062
3/1/2021,0.342490557,0.23422665,0.387989625,0.210238251
3/2/2021,0.336650816,0.250915258,0.387218858,0.217453744
3/3/2021,0.356556195,0.254047027,0.386705655,0.233731902
3/4/2021,0.355812912,0.249023473,0.391988612,0.2302639
3/5/2021,0.350920663,0.250050341,0.392843291,0.232103504
3/8/2021,0.342818255,0.247709039,0.387790711,0.236095947
